AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,ID_all_events,EventId
0.7761030835063067,0.18856529216018192,0.5414478886376628,0.7984075323152133,0.65360142713768,0.4015022436299702,0.5687417064418199,0.6522699416778295,0.8518745669394541,0.1795695572560696,0.6160289015891784,0.3536996617703263,0.6472094254682297,0.42258079625656997,1.0,left
0.7953292247810566,0.18359356244862024,0.514563079180764,0.7294421311928296,0.6953225623950487,0.36541517878894325,0.6133976902227971,0.5723551621735226,0.847572051911083,0.17016120486691833,0.5855259711122152,0.34974963789765745,0.6395128472758973,0.4310487676214958,2.0,left
0.6195055088780279,0.15909061707746286,0.43091923748627536,0.6083115431176189,0.668773186767595,0.2857155129708744,0.554644056721429,0.4967631018286198,0.8451117998461974,0.15645129172240857,0.5610047220202752,0.32999751242772746,0.6257210579770831,0.4008057933580531,3.0,left
0.5192313728767388,0.15802553624283,0.4032863636102135,0.6321834048638912,0.5688976520128932,0.3789485440042526,0.5193909815321902,0.5637179497721334,0.870926890016424,0.17338673554903394,0.5897126925084564,0.3191986406620728,0.6250797782516031,0.37903232618142724,4.0,left
0.5810427631234774,0.17311790072904465,0.43241252197232427,0.7064525416679501,0.5372926281429997,0.49774205279975803,0.5922467401978508,0.6382283020881374,0.8776873162416372,0.17822579943353212,0.5861250503977331,0.30998158394151787,0.6183445089049577,0.3903229546679956,5.0,left
0.5247245560979437,0.1690340765005871,0.41224891487993887,0.671087568885369,0.534764804021286,0.4150356088441072,0.6274998153880063,0.5453577039817432,0.8125386243188046,0.1462366846396499,0.49521533825189223,0.28759544052094554,0.5827455444801046,0.3620963834515756,6.0,left
0.4835152187333236,0.16459522532720694,0.4010450147050051,0.6215725660482825,0.5676361474038245,0.3548885917112159,0.6745009320113624,0.4740842498375386,0.7461586359292696,0.1505377334875284,0.45035956146472245,0.29049225843467497,0.5625397364401685,0.36088623447885837,7.0,left
0.5329695625328128,0.1727628737842588,0.40627293258289043,0.6427942436788108,0.6156744355127017,0.4090220525701085,0.7132806573528754,0.5021593031003491,0.7271039719842527,0.19327947040078897,0.46172156708194834,0.3002369211879934,0.5663886362788677,0.3717745037892186,8.0,left
0.49450681677826225,0.16406234678902543,0.3823746920986686,0.6374871405455664,0.5840694116428082,0.4150356088441072,0.6368982485349335,0.47732114800849246,0.7092806045054623,0.20080656183826306,0.42165159097700666,0.27943058670593324,0.5558050778360553,0.34999950089038734,9.0,left
0.4024724556093062,0.1551846444422642,0.35698316712839784,0.5764790266721711,0.5094817479064915,0.3052624344601824,0.5475907564168736,0.45356470094638013,0.7019045300473792,0.18844091842398036,0.3971292029511808,0.25836145226057816,0.5493904483521508,0.3306447959373049,10.0,left
