Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,ID_Chunk
,,720.7292739609388,720.0882931682999,718.977684794596,725.6031768870337,723.7139509621835,716.6319858240566,721.3729042387979,712.6556020880366,716.7404258965502,720.1368220705943,719.9601255126013,721.6258326366236,719.673427458511,720.9495233714175,,
,,822.1741680825581,821.999013567828,818.092910194436,828.2071658980498,828.1400794337349,815.3652471187174,816.6596297846071,805.0179231255215,808.3941957725995,814.0583821047611,812.6891434116246,823.6717344515679,818.9040791935078,828.2234844082399,,
,,694.3545983744901,692.4575944096899,695.3757460525991,700.2942014214675,699.2223757227877,690.541574933385,688.5509893214274,680.00676465371,681.7952212368077,684.4338817192213,680.7956084720456,694.2257736198092,690.8447182923686,702.9331038884937,,
,,344.0397022567029,341.1685407599439,347.3655873402791,349.2513592173908,343.7002257557403,341.605518895607,341.16549185569147,341.36554586041217,342.90631306735105,341.16327512637037,338.93635078578046,344.6878986348714,343.73304904951954,349.1875633395839,,
,,10.601929468723782,9.26532886698358,8.27557470290769,12.853381120341524,4.533108652185405,5.92682122417915,10.359192907511385,17.142679249470646,19.53604532036867,14.952295088556966,17.524187665490132,13.482200054125514,14.754966129237957,11.76282728393943,,
,,-186.01475310638057,-185.71225453220416,-193.18545323332387,-189.24788307005258,-194.56595161198297,-191.83553609677858,-184.95459428241907,-176.78752863765322,-175.93826560755258,-180.19101582479436,-177.02241366730044,-182.47720400875977,-179.84842780271867,-184.53928126309376,,
,,-308.54012180390725,-308.60096377502884,-312.2919613993762,-315.75003330037316,-314.5723308628845,-311.7038497753449,-307.0333583976209,-301.2009887618462,-304.36894715261485,-304.80892661964515,-307.4111358749978,-306.5846173348372,-304.7378413111356,-305.4673876148428,,
,,-408.23313762282606,-408.32664662734896,-405.16623019663245,-414.2642352049944,-408.6791714954197,-407.33987799637123,-407.2628367553987,-405.9572206830153,-410.8825503649531,-407.5119621884905,-412.55770671658433,-411.0948561981297,-409.3386063117211,-408.1583270714208,,
,,-444.89645261440614,-441.4146390652838,-439.4083567459952,-446.37115458327014,-440.1690405287733,-440.1886486761145,-444.37024879147765,-446.7056567300847,-449.96442208341205,-446.88475286946203,-445.5588026244353,-453.7377757103341,-448.90967509136055,-451.30931636759766,,
,,-383.7577074082779,-376.3482047334131,-380.92797460107613,-382.25913359447566,-376.6343954107992,-375.5310452232321,-381.5873036597034,-383.0372157432686,-385.046475069704,-385.3822706069374,-378.5980298261119,-392.4780927099793,-386.5330651896853,-392.61845754052683,,
,,-260.4013264086575,-256.05077453505453,-261.25908237851826,-259.8674331230647,-255.44663798846,-251.71985148561913,-256.17074894434916,-253.90941138801867,-255.6604899462214,-258.21828224687874,-255.84689594234436,-261.5548097188103,-260.9634159434992,-264.93374714544336,,
,,-130.83511200984935,-135.6007336227903,-133.28721171336304,-132.84645773797342,-131.10189274996384,-126.80535155904677,-128.18208503203618,-124.89622187875725,-124.14725053971178,-125.98550761794188,-131.36328194566983,-125.80618231994103,-131.53722378973907,-130.49439465401318,,
,,-15.90044903885665,-25.267777586722374,-17.159543641484987,-18.038553066018196,-18.473374560003535,-17.780530274524054,-17.955209987675858,-16.462905105296926,-12.02586051329149,-12.232581723519445,-17.78598522453254,-10.756259887742516,-17.291471442378892,-15.26493615550936,,
,,85.36062127112396,81.05889071607324,86.37840596686439,86.3884660831522,85.24972124947509,80.88011930738854,80.04802130803968,81.3750344347158,85.37237017849642,86.15953702343242,87.47622022599268,89.95700568322766,85.34303393713229,84.75643276319383,,
,,163.18261727538112,166.13201381712867,164.85647448783837,167.48332390233935,165.52794226286392,159.55274069137639,158.315507447537,159.66814540256036,158.79218001127703,161.3965154768743,167.6111486735209,169.25365106408793,164.55504758593253,164.06355857566615,,
,,201.09055305925148,205.74383627211745,202.1901960486187,206.02853264278218,203.86363337811105,200.35629773348572,199.43492523856605,196.65389040406617,192.59273276200753,197.82532750004395,202.6412083527049,206.76091959105543,201.96439527921723,204.88846549851723,,
,,197.62741384835215,200.37317629661027,199.60812129554137,201.23182391823678,199.6873939311783,199.2313305935021,199.49486846986701,193.6493543112694,190.92458495308045,195.18723353081324,196.68932962842212,200.68179892488993,198.701057534921,203.02774542388,,
,,166.59807901653883,168.08490545376924,168.95374064709466,167.885051013242,164.58050424041102,166.03170418554913,168.38912818329698,168.0052365549454,167.73749354149112,166.09714316590652,166.9594596209922,167.60337594253437,169.0692936457521,172.17211911063038,,
,,120.48094253103574,120.22980074773947,118.36345340890217,117.93520165729778,111.88433764934116,115.04775435543938,117.99560695037574,124.34321516586617,125.7690614937706,119.8136093342962,121.07712431905342,117.54437150920079,121.69106573521331,124.02380400356267,,
,,64.90032085825348,61.567905762939134,57.48170529991141,58.70734951965467,55.36240296989047,59.64370291281037,60.80541513621348,62.93879904293662,66.35315743227937,62.20724353264211,61.91905369893601,54.0759555235621,63.147933594084364,63.004885432316826,,
,,6.782896597716913,2.9005743813358293,1.5029909259816634,0.9400819493061618,5.5280899436182835,7.708639345871617,8.45218710092459,0.5558176923343296,4.615578817153775,3.605589330844566,1.0140155504387565,-7.8507060596221265,5.692561342611867,0.15871615556962126,,
,,-42.391214577387416,-43.31063892706665,-40.77297708197828,-44.53356605602468,-35.01218958616553,-38.11531462135498,-35.43650856601849,-43.55483804495891,-42.539394014936164,-43.93188841659649,-47.07386590517396,-48.85897924043557,-41.10092552032225,-47.47056469268095,,
14.09375,56.0,-74.28741695215686,-73.80131544872438,-71.0741014683499,-74.20226611953555,-67.88141049292643,-73.64960044506752,-71.17612551128764,-69.07206214331038,-71.98766812999487,-74.21230995383006,-76.6055222159496,-68.3927823519759,-74.98223604789032,-74.39812119627004,33025,1.0
