Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,EventDate,EventDuration,ID_Chunk_Number,ID_Chunk
13.8515625,55,4113.3334960938,4135.5126953125,4121.9228515625,4078.3332519531,4093.8461914063,4125.5126953125,4082.8205566406,4119.615234375,4094.2307128906,4140.1284179688,4143.8461914063,4114.3588867188,4122.9487304688,4143.3334960938,33025,13.8591737116,0.0,0.0,
13.859375,55,4111.0258789063,4124.615234375,4108.0771484375,4076.5385742188,4095.7692871094,4126.2822265625,4075.3845214844,4125.2563476563,4099.3588867188,4142.6923828125,4137.6923828125,4115.6411132813,4124.2309570313,4138.9741210938,33025,0.0,0.0,1.0,
13.8671875,55,4112.1796875,4126.9228515625,4108.4614257813,4079.3588867188,4084.6154785156,4111.1538085938,4065.5129394531,4121.2822265625,4093.3332519531,4139.8715820313,4138.3334960938,4126.9228515625,4122.5639648438,4141.2822265625,33025,0.0,0.0,1.0,
13.875,55,4117.0512695313,4139.3588867188,4125.1284179688,4089.2307128906,4080.8974609375,4108.58984375,4067.1794433594,4119.1025390625,4096.0258789063,4139.3588867188,4148.58984375,4123.7177734375,4124.3588867188,4143.9741210938,33025,0.0,0.0,1.0,
13.8828125,55,4124.3588867188,4140.6411132813,4136.6665039063,4093.8461914063,4092.3076171875,4121.6665039063,4080.2563476563,4127.1796875,4109.2309570313,4142.1796875,4147.9487304688,4119.2309570313,4126.9228515625,4145.2563476563,33025,0.0,0.0,1.0,
13.890625,55,4130.0,4137.1796875,4137.6923828125,4090.8974609375,4088.9743652344,4125.2563476563,4085.6411132813,4129.7436523438,4106.41015625,4137.6923828125,4140.1284179688,4124.1025390625,4126.9228515625,4160.5126953125,33025,0.0,0.0,1.0,
13.8984375,55,4131.41015625,4138.58984375,4139.1025390625,4090.2563476563,4078.58984375,4120.5126953125,4080.6411132813,4123.0771484375,4091.2819824219,4126.1538085938,4130.384765625,4117.6923828125,4120.2563476563,4171.794921875,33025,0.0,0.0,1.0,
13.90625,55,4131.41015625,4138.8461914063,4144.615234375,4090.7692871094,4087.5642089844,4121.9228515625,4084.3588867188,4119.3588867188,4090.5129394531,4120.384765625,4122.4360351563,4112.5639648438,4111.9228515625,4159.615234375,33025,0.0,0.0,1.0,
13.9140625,55,4130.0,4138.9741210938,4147.3076171875,4090.5129394531,4095.6411132813,4124.4873046875,4092.0512695313,4116.0258789063,4093.0769042969,4122.1796875,4127.9487304688,4124.1025390625,4116.0258789063,4149.1025390625,33025,0.0,0.0,1.0,
13.921875,55,4131.1538085938,4142.5639648438,4145.6411132813,4098.205078125,4089.1025390625,4122.4360351563,4084.4870605469,4112.0512695313,4089.1025390625,4122.6923828125,4139.3588867188,4129.2309570313,4122.4360351563,4153.8461914063,33025,0.0,0.0,1.0,
13.9296875,55,4135.1284179688,4144.7436523438,4147.0512695313,4106.5385742188,4089.4870605469,4121.41015625,4072.5642089844,4117.4360351563,4095.2563476563,4124.7436523438,4141.794921875,4119.7436523438,4120.6411132813,4156.0258789063,33025,0.0,0.0,1.0,
13.9375,55,4136.41015625,4142.0512695313,4148.8461914063,4107.1796875,4090.3845214844,4120.8974609375,4081.1538085938,4128.7177734375,4107.0512695313,4127.1796875,4136.5385742188,4119.1025390625,4120.7690429688,4152.5639648438,33025,0.0,0.0,1.0,
13.9453125,55,4135.0,4139.1025390625,4148.8461914063,4105.7690429688,4086.0256347656,4123.3334960938,4097.0512695313,4138.0771484375,4115.6411132813,4124.7436523438,4128.8461914063,4120.6411132813,4121.2822265625,4155.384765625,33025,0.0,0.0,1.0,
13.953125,55,4136.1538085938,4140.0,4145.8974609375,4103.0771484375,4091.1538085938,4127.0512695313,4097.6923828125,4145.2563476563,4123.3334960938,4124.615234375,4123.205078125,4110.7690429688,4112.3076171875,4154.8715820313,33025,0.0,0.0,1.0,
13.9609375,55,4136.6665039063,4137.4360351563,4139.8715820313,4098.205078125,4096.1538085938,4128.205078125,4096.0258789063,4143.58984375,4123.58984375,4125.8974609375,4119.7436523438,4109.4873046875,4107.1796875,4145.0,33025,0.0,0.0,1.0,
13.96875,55,4133.3334960938,4136.2822265625,4141.1538085938,4101.5385742188,4091.6667480469,4126.0258789063,4104.1025390625,4138.58984375,4118.9741210938,4123.205078125,4118.7177734375,4120.0,4115.7690429688,4145.8974609375,33025,0.0,0.0,1.0,
13.9765625,55,4134.4873046875,4142.3076171875,4148.7177734375,4111.794921875,4094.1025390625,4123.4614257813,4109.4873046875,4144.3588867188,4126.5385742188,4126.0258789063,4129.615234375,4127.8203125,4124.7436523438,4162.8203125,33025,0.0,0.0,1.0,
13.984375,55,4133.7177734375,4142.8203125,4146.794921875,4113.0771484375,4098.3334960938,4124.3588867188,4103.205078125,4144.2309570313,4127.6923828125,4129.4873046875,4143.9741210938,4125.7690429688,4123.58984375,4166.0258789063,33025,0.0,0.0,1.0,
13.9921875,55,4130.0,4138.9741210938,4137.6923828125,4111.0258789063,4092.0512695313,4124.1025390625,4093.9743652344,4131.9228515625,4108.7177734375,4124.615234375,4144.4873046875,4129.7436523438,4125.2563476563,4160.0,33025,0.0,0.0,1.0,
14.0,56,4137.4360351563,4140.0,4140.2563476563,4112.3076171875,4088.7180175781,4122.6923828125,4090.7692871094,4121.41015625,4099.1025390625,4122.1796875,4141.41015625,4142.8203125,4138.4614257813,4166.1538085938,33025,0.0,0.0,1.0,
14.0078125,56,4141.0258789063,4139.7436523438,4141.794921875,4107.5639648438,4092.1794433594,4124.1025390625,4092.9487304688,4111.9228515625,4103.3334960938,4118.7177734375,4141.41015625,4139.4873046875,4136.1538085938,4164.3588867188,33025,0.0,0.0,1.0,
14.015625,56,4131.41015625,4135.2563476563,4132.3076171875,4102.1796875,4091.0256347656,4121.794921875,4087.6923828125,4102.5639648438,4100.384765625,4107.4360351563,4137.6923828125,4122.0512695313,4121.0258789063,4152.1796875,33025,0.0,0.0,1.0,
14.0234375,56,4128.9741210938,4133.9741210938,4127.9487304688,4103.205078125,4091.1538085938,4115.1284179688,4080.3845214844,4108.8461914063,4098.0771484375,4110.2563476563,4136.2822265625,4122.9487304688,4127.0512695313,4151.5385742188,33025,0.0,0.0,1.0,
14.03125,56,4133.8461914063,4134.2309570313,4134.1025390625,4102.0512695313,4091.6667480469,4112.6923828125,4086.6667480469,4130.7690429688,4113.9741210938,4125.0,4139.615234375,4136.6665039063,4140.7690429688,4154.3588867188,33025,0.0,0.0,1.0,
14.0390625,56,4138.7177734375,4135.7690429688,4141.9228515625,4102.6923828125,4080.8974609375,4114.4873046875,4094.4870605469,4144.1025390625,4129.1025390625,4128.0771484375,4140.384765625,4138.8461914063,4139.7436523438,4159.8715820313,33025,0.0,0.0,1.0,
14.046875,56,4144.1025390625,4137.3076171875,4139.615234375,4109.1025390625,4076.6667480469,4113.7177734375,4092.6923828125,4144.2309570313,4125.6411132813,4122.3076171875,4137.0512695313,4143.8461914063,4139.3588867188,4170.384765625,33025,0.0,0.0,1.0,
14.0546875,56,4141.794921875,4137.6923828125,4137.4360351563,4106.5385742188,4090.6411132813,4113.4614257813,4088.7180175781,4138.3334960938,4116.0258789063,4118.4614257813,4127.6923828125,4140.8974609375,4137.5639648438,4162.8203125,33025,0.0,0.0,1.0,
14.0625,56,4135.5126953125,4137.0512695313,4139.3588867188,4098.205078125,4096.2822265625,4112.9487304688,4082.4357910156,4121.41015625,4103.58984375,4108.0771484375,4113.0771484375,4121.1538085938,4116.2822265625,4137.4360351563,33025,0.0,0.0,1.0,
14.0703125,56,4134.1025390625,4137.4360351563,4136.0258789063,4101.2822265625,4086.9230957031,4109.3588867188,4075.0,4095.7692871094,4085.6411132813,4093.8461914063,4104.3588867188,4124.615234375,4103.205078125,4121.0258789063,33025,0.0,0.0,1.0,
14.078125,56,4135.384765625,4140.7690429688,4139.1025390625,4110.1284179688,4087.6923828125,4106.2822265625,4073.4614257813,4086.9230957031,4076.2819824219,4088.3332519531,4106.5385742188,4141.0258789063,4114.615234375,4122.6923828125,33025,0.0,0.0,1.0,
14.0859375,56,4135.0,4137.3076171875,4142.5639648438,4107.0512695313,4092.5642089844,4107.1796875,4076.41015625,4098.58984375,4079.7436523438,4089.8718261719,4106.5385742188,4123.7177734375,4121.9228515625,4133.9741210938,33025,0.0,0.0,1.0,
14.09375,56,4127.0512695313,4126.6665039063,4125.5126953125,4097.1796875,4083.3332519531,4109.8715820313,4083.205078125,4105.7690429688,4090.5129394531,4094.8718261719,4102.3076171875,4104.8715820313,4118.7177734375,4138.205078125,33025,0.0,0.0,1.0,
14.1015625,56,4119.4873046875,4120.1284179688,4114.2309570313,4089.4870605469,4081.1538085938,4110.7690429688,4086.0256347656,4112.5639648438,4109.8715820313,4101.41015625,4111.1538085938,4123.9741210938,4119.7436523438,4134.3588867188,33025,0.0,0.0,1.0,1.0
14.109375,56,4114.1025390625,4122.5639648438,4118.9741210938,4089.4870605469,4090.2563476563,4108.0771484375,4080.3845214844,4123.7177734375,4125.384765625,4112.1796875,4128.0771484375,4140.384765625,4125.5126953125,4132.1796875,33025,0.0,0.0,1.0,1.0
14.1171875,56,4109.615234375,4124.1025390625,4116.2822265625,4100.2563476563,4084.6154785156,4105.7690429688,4081.6667480469,4126.5385742188,4126.6665039063,4120.5126953125,4134.1025390625,4135.8974609375,4128.7177734375,4130.0,33025,0.0,0.0,1.0,1.0
14.125,56,4105.384765625,4112.5639648438,4097.8203125,4093.4614257813,4075.3845214844,4108.3334960938,4091.1538085938,4126.0258789063,4127.5639648438,4118.9741210938,4124.3588867188,4127.1796875,4124.8715820313,4129.1025390625,33025,0.0,0.0,1.0,1.0
14.1328125,56,4102.8203125,4105.6411132813,4080.6411132813,4077.6923828125,4086.0256347656,4108.0771484375,4086.5385742188,4126.2822265625,4125.6411132813,4109.2309570313,4112.1796875,4119.1025390625,4113.3334960938,4127.1796875,33025,0.0,0.0,1.0,1.0
14.140625,56,4105.7690429688,4118.7177734375,4097.4360351563,4098.3334960938,4096.41015625,4102.9487304688,4069.4870605469,4115.6411132813,4107.6923828125,4096.0258789063,4107.0512695313,4121.5385742188,4104.2309570313,4119.3588867188,33025,0.0,0.0,1.0,1.0
14.1484375,56,4101.2822265625,4127.5639648438,4125.7690429688,4126.794921875,4091.2819824219,4104.1025390625,4062.0512695313,4099.615234375,4087.5642089844,4081.794921875,4093.205078125,4120.0,4095.7692871094,4109.1025390625,33025,0.0,0.0,1.0,1.0
14.15625,56,4093.0769042969,4124.615234375,4119.7436523438,4121.6665039063,4092.3076171875,4105.384765625,4054.6154785156,4091.2819824219,4074.1025390625,4068.3332519531,4067.4357910156,4102.4360351563,4080.6411132813,4099.7436523438,33025,0.0,0.0,1.0,1.0
14.1640625,56,4106.6665039063,4140.5126953125,4116.0258789063,4127.9487304688,4099.4873046875,4097.3076171875,4041.794921875,4087.4357910156,4068.4614257813,4068.3332519531,4063.205078125,4108.3334960938,4079.7436523438,4105.6411132813,33025,0.0,0.0,1.0,1.0
14.171875,56,4130.6411132813,4164.2309570313,4142.9487304688,4158.0771484375,4096.1538085938,4090.0,4042.4357910156,4092.0512695313,4080.1281738281,4077.6923828125,4078.58984375,4142.5639648438,4095.8974609375,4125.5126953125,33025,0.0,0.0,1.0,1.0
14.1796875,56,4130.6411132813,4162.3076171875,4150.384765625,4163.0771484375,4089.7436523438,4095.1281738281,4056.2819824219,4099.2309570313,4091.9230957031,4080.5129394531,4071.5385742188,4147.9487304688,4094.4870605469,4125.8974609375,33025,0.0,0.0,1.0,1.0
14.1875,56,4114.2309570313,4158.4614257813,4129.3588867188,4157.4360351563,4090.6411132813,4106.2822265625,4070.1281738281,4103.9741210938,4097.8203125,4080.8974609375,4055.6411132813,4135.5126953125,4080.5129394531,4107.4360351563,33025,0.0,0.0,1.0,1.0
14.1953125,56,4129.3588867188,4169.615234375,4134.4873046875,4171.5385742188,4096.0258789063,4113.7177734375,4081.794921875,4117.0512695313,4115.2563476563,4090.3845214844,4059.8718261719,4149.1025390625,4085.3845214844,4107.0512695313,33025,0.0,0.0,1.0,1.0
14.203125,56,4175.384765625,4175.5126953125,4169.2309570313,4188.7177734375,4097.8203125,4112.6923828125,4086.41015625,4125.2563476563,4126.0258789063,4097.9487304688,4062.1794433594,4158.9741210938,4095.1281738281,4116.9228515625,33025,0.0,0.0,1.0,1.0
