Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,EventDate,EventDuration,ID_Chunk_Number,ID_Chunk
13.84375,55,4097.0512695313,4093.8461914063,4130.8974609375,4144.7436523438,4105.2563476563,4092.9487304688,4107.5639648438,4076.9230957031,4080.2563476563,4057.1794433594,4024.8718261719,4087.9487304688,4067.9487304688,4069.8718261719,33025,13.8446810206,0.0,0.0,
13.8515625,55,4097.3076171875,4088.4614257813,4131.5385742188,4152.5639648438,4087.0512695313,4089.8718261719,4106.1538085938,4070.2563476563,4071.794921875,4054.7436523438,4022.3076171875,4090.3845214844,4064.7436523438,4064.3588867188,33025,0.0,0.0,1.0,
13.859375,55,4099.4873046875,4096.9228515625,4133.8461914063,4152.6923828125,4090.2563476563,4091.6667480469,4110.1284179688,4081.41015625,4079.3588867188,4061.9230957031,4030.1281738281,4095.7692871094,4077.8205566406,4076.0256347656,33025,0.0,0.0,1.0,
13.8671875,55,4103.58984375,4099.7436523438,4127.3076171875,4151.1538085938,4096.0258789063,4096.0258789063,4119.7436523438,4093.4614257813,4089.1025390625,4062.1794433594,4034.6154785156,4088.8461914063,4079.3588867188,4077.0512695313,33025,0.0,0.0,1.0,
13.875,55,4105.0,4094.8718261719,4132.4360351563,4151.794921875,4089.2307128906,4093.3332519531,4121.5385742188,4093.205078125,4090.2563476563,4058.3332519531,4034.2307128906,4074.6154785156,4072.4357910156,4072.3076171875,33025,0.0,0.0,1.0,
13.8828125,55,4105.1284179688,4098.58984375,4135.2563476563,4151.9228515625,4094.8718261719,4093.4614257813,4119.7436523438,4089.2307128906,4090.8974609375,4062.8205566406,4036.9230957031,4071.9230957031,4076.41015625,4080.7692871094,33025,0.0,0.0,1.0,
13.890625,55,4108.4614257813,4098.8461914063,4124.1025390625,4151.1538085938,4097.4360351563,4098.3334960938,4123.0771484375,4089.1025390625,4089.1025390625,4065.7692871094,4040.0,4074.6154785156,4077.5642089844,4082.6923828125,33025,0.0,0.0,1.0,
13.8984375,55,4108.58984375,4090.7692871094,4122.3076171875,4151.794921875,4084.2307128906,4096.794921875,4123.8461914063,4091.1538085938,4088.9743652344,4067.8205566406,4042.0512695313,4073.7180175781,4075.1281738281,4080.5129394531,33025,0.0,0.0,1.0,
13.90625,55,4108.9741210938,4095.8974609375,4131.6665039063,4151.2822265625,4088.9743652344,4095.1281738281,4121.0258789063,4094.3588867188,4093.4614257813,4073.58984375,4045.3845214844,4073.8461914063,4080.3845214844,4089.6154785156,33025,0.0,0.0,1.0,
13.9140625,55,4110.2563476563,4105.8974609375,4142.0512695313,4151.1538085938,4110.8974609375,4104.4873046875,4125.8974609375,4097.0512695313,4097.4360351563,4075.5129394531,4046.9230957031,4079.3588867188,4083.7180175781,4095.0,33025,0.0,0.0,1.0,
13.921875,55,4108.58984375,4100.0,4120.2563476563,4153.3334960938,4108.9741210938,4110.1284179688,4130.384765625,4095.8974609375,4095.7692871094,4074.1025390625,4045.1281738281,4083.7180175781,4082.4357910156,4089.1025390625,33025,0.0,0.0,1.0,
