,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
10,4130.6411132813,4162.3076171875,4150.384765625,4163.0771484375,4089.7436523438,4095.1281738281,4056.2819824219,4099.2309570313,4091.9230957031,4080.5129394531,4071.5385742188,4147.9487304688,4094.4870605469,4125.8974609375
11,4114.2309570313,4158.4614257813,4129.3588867188,4157.4360351563,4090.6411132813,4106.2822265625,4070.1281738281,4103.9741210938,4097.8203125,4080.8974609375,4055.6411132813,4135.5126953125,4080.5129394531,4107.4360351563
12,4129.3588867188,4169.615234375,4134.4873046875,4171.5385742188,4096.0258789063,4113.7177734375,4081.794921875,4117.0512695313,4115.2563476563,4090.3845214844,4059.8718261719,4149.1025390625,4085.3845214844,4107.0512695313
13,4175.384765625,4175.5126953125,4169.2309570313,4188.7177734375,4097.8203125,4112.6923828125,4086.41015625,4125.2563476563,4126.0258789063,4097.9487304688,4062.1794433594,4158.9741210938,4095.1281738281,4116.9228515625
14,4187.3076171875,4172.1796875,4180.6411132813,4190.384765625,4094.6154785156,4104.2309570313,4073.58984375,4114.1025390625,4106.41015625,4088.3332519531,4049.3588867188,4139.8715820313,4087.1794433594,4113.4614257813
15,4151.5385742188,4164.2309570313,4150.5126953125,4179.7436523438,4092.5642089844,4105.7690429688,4063.9743652344,4104.7436523438,4088.3332519531,4073.7180175781,4031.794921875,4119.615234375,4073.8461914063,4101.1538085938
16,4123.4614257813,4156.2822265625,4127.1796875,4170.6411132813,4093.9743652344,4108.4614257813,4065.6411132813,4109.1025390625,4096.2822265625,4074.2307128906,4023.0769042969,4122.1796875,4072.8205566406,4090.5129394531
17,4125.2563476563,4156.2822265625,4132.1796875,4170.7690429688,4100.2563476563,4093.9743652344,4057.1794433594,4106.794921875,4099.2309570313,4079.3588867188,4029.2307128906,4128.9741210938,4078.7180175781,4083.58984375
18,4125.384765625,4148.58984375,4137.9487304688,4171.794921875,4106.2822265625,4092.5642089844,4050.0,4089.4870605469,4082.5642089844,4066.41015625,4026.41015625,4116.41015625,4071.5385742188,4070.0
19,4117.0512695313,4138.205078125,4133.7177734375,4164.8715820313,4104.7436523438,4108.0771484375,4056.5385742188,4078.7180175781,4069.4870605469,4048.3332519531,4007.0512695313,4101.5385742188,4057.8205566406,4061.41015625
20,4124.615234375,4146.41015625,4128.7177734375,4161.0258789063,4097.9487304688,4104.7436523438,4066.0256347656,4085.6411132813,4071.9230957031,4045.0,4004.4870605469,4105.2563476563,4059.1025390625,4073.58984375
21,4131.41015625,4149.8715820313,4125.1284179688,4160.5126953125,4094.6154785156,4096.41015625,4070.5129394531,4092.0512695313,4074.2307128906,4045.2563476563,4014.4870605469,4110.1284179688,4063.3332519531,4077.1794433594
22,4122.1796875,4139.8715820313,4124.615234375,4151.5385742188,4091.6667480469,4107.5639648438,4081.794921875,4091.5385742188,4074.4870605469,4042.8205566406,4010.0,4106.1538085938,4057.9487304688,4060.5129394531
23,4112.6923828125,4131.9228515625,4119.2309570313,4140.7690429688,4086.1538085938,4113.9741210938,4091.794921875,4091.6667480469,4078.3332519531,4044.8718261719,4001.6667480469,4102.1796875,4058.0769042969,4054.4870605469
24,4108.7177734375,4123.8461914063,4105.8974609375,4137.5639648438,4085.0,4106.41015625,4081.1538085938,4085.7692871094,4073.3332519531,4042.5642089844,3996.794921875,4093.4614257813,4058.0769042969,4059.2307128906
25,4107.4360351563,4126.1538085938,4106.5385742188,4136.41015625,4088.0769042969,4102.4360351563,4061.0256347656,4075.3845214844,4062.5642089844,4031.1538085938,3988.58984375,4088.58984375,4049.2307128906,4050.6411132813
26,4104.3588867188,4134.7436523438,4112.5639648438,4135.1284179688,4092.6923828125,4097.0512695313,4045.5129394531,4072.5642089844,4061.794921875,4027.9487304688,3987.6923828125,4089.1025390625,4049.6154785156,4039.1025390625
27,4105.1284179688,4128.58984375,4104.7436523438,4136.6665039063,4088.7180175781,4089.4870605469,4039.1025390625,4074.7436523438,4068.9743652344,4037.6923828125,3998.58984375,4088.4614257813,4062.0512695313,4045.3845214844
28,4108.3334960938,4121.1538085938,4106.2822265625,4138.8461914063,4075.5129394531,4090.3845214844,4045.1281738281,4073.4614257813,4071.6667480469,4041.5385742188,4010.2563476563,4106.0258789063,4065.7692871094,4058.4614257813
29,4106.0258789063,4125.7690429688,4119.3588867188,4138.58984375,4078.8461914063,4094.2307128906,4056.2819824219,4072.9487304688,4073.205078125,4042.4357910156,4022.3076171875,4142.9487304688,4065.7692871094,4059.7436523438
30,4106.0258789063,4122.5639648438,4117.5639648438,4133.7177734375,4089.7436523438,4096.41015625,4065.0,4078.205078125,4081.9230957031,4052.5642089844,4037.1794433594,4172.4360351563,4077.0512695313,4060.6411132813
31,4114.4873046875,4118.58984375,4110.1284179688,4131.9228515625,4079.8718261719,4097.8203125,4074.1025390625,4091.794921875,4096.0258789063,4063.3332519531,4051.794921875,4178.58984375,4090.0,4072.5642089844
32,4122.1796875,4124.3588867188,4116.41015625,4135.2563476563,4069.4870605469,4096.5385742188,4079.3588867188,4107.5639648438,4108.0771484375,4071.0256347656,4067.5642089844,4165.6411132813,4100.2563476563,4077.6923828125
33,4127.8203125,4127.4360351563,4124.4873046875,4136.794921875,4076.0256347656,4093.7180175781,4075.6411132813,4112.0512695313,4108.7177734375,4072.0512695313,4078.4614257813,4149.615234375,4106.9228515625,4081.794921875
34,4131.9228515625,4127.6923828125,4126.0258789063,4138.205078125,4077.9487304688,4093.3332519531,4073.3332519531,4108.58984375,4099.4873046875,4064.3588867188,4072.5642089844,4149.7436523438,4100.6411132813,4093.8461914063
35,4122.5639648438,4119.7436523438,4116.2822265625,4133.3334960938,4082.4357910156,4096.0258789063,4070.8974609375,4103.205078125,4092.9487304688,4054.1025390625,4050.7692871094,4145.384765625,4083.4614257813,4082.4357910156
36,4105.5126953125,4103.205078125,4096.5385742188,4115.8974609375,4090.6411132813,4097.0512695313,4065.7692871094,4092.6923828125,4088.205078125,4043.4614257813,4028.0769042969,4120.7690429688,4068.8461914063,4051.0256347656
37,4100.5126953125,4099.8715820313,4089.3588867188,4113.7177734375,4086.6667480469,4097.1796875,4066.9230957031,4079.4870605469,4079.3588867188,4035.6411132813,4017.9487304688,4117.6923828125,4064.7436523438,4042.5642089844
38,4110.1284179688,4109.1025390625,4099.615234375,4131.2822265625,4086.41015625,4096.0258789063,4067.5642089844,4079.1025390625,4077.5642089844,4044.8718261719,4024.1025390625,4147.1796875,4068.8461914063,4053.3332519531
39,4118.205078125,4111.9228515625,4104.1025390625,4132.9487304688,4091.9230957031,4093.58984375,4066.794921875,4097.6923828125,4096.0258789063,4064.6154785156,4041.2819824219,4173.7177734375,4080.5129394531,4061.2819824219
40,4120.8974609375,4106.41015625,4106.41015625,4124.615234375,4091.794921875,4099.2309570313,4074.3588867188,4116.9228515625,4117.9487304688,4079.3588867188,4063.7180175781,4188.7177734375,4097.4360351563,4070.5129394531
41,4119.615234375,4103.9741210938,4113.205078125,4123.9741210938,4089.6154785156,4105.384765625,4078.0769042969,4122.1796875,4122.8203125,4090.2563476563,4084.7436523438,4203.0771484375,4108.3334960938,4077.0512695313
42,4118.9741210938,4106.9228515625,4110.0,4122.9487304688,4084.7436523438,4105.384765625,4075.2563476563,4120.7690429688,4121.41015625,4093.7180175781,4096.2822265625,4211.794921875,4111.2822265625,4077.6923828125
